text,script_type,vertical,source_url,date_scraped
"క్లైమాక్స్‌ మార్చమన్నారు: దర్శకుడు ‘ఫిదా’, ‘ఉప్పెన’ ఆ హీరోలతో చేయాలనుకున్నారు",Telugu,General,https://www.eenadu.net/movies/new-updates,2025-06-23
ఎద్దుతో చిరు ఫైట్‌,Telugu,General,https://www.eenadu.net/movies/new-updates,2025-06-23
ఆరు వేల కుండలు తెచ్చారట,Telugu,General,https://www.eenadu.net/movies/new-updates,2025-06-23
‘పెదరాయుడు’ @ 30 ఏళ్లు,Telugu,General,https://www.eenadu.net/movies/new-updates,2025-06-23
ఈ విశేషాలు తెలుసా,Telugu,General,https://www.eenadu.net/movies/new-updates,2025-06-23
చిరు కెరీర్‌ను మలుపు తిప్పిన చిత్రం  నేనూ ఓటీటీకి రెడీ,Telugu,General,https://www.eenadu.net/movies/new-updates,2025-06-23
చిరు ఆసక్తికర కామెంట్స్‌ ఈ వారం ఓటీటీలో అలరించే చిత్రాలు,Telugu,General,https://www.eenadu.net/movies/new-updates,2025-06-23
థ్రిల్‌ పంచే సిరీస్‌లివే,Telugu,General,https://www.eenadu.net/movies/new-updates,2025-06-23
డైరెక్ట్‌గా ఓటీటీలోకి అభిషేక్ చిత్రం,Telugu,General,https://www.eenadu.net/movies/new-updates,2025-06-23
స్ట్రీమింగ్‌ ఎక్కడంటే,Telugu,General,https://www.eenadu.net/movies/new-updates,2025-06-23
రాజీవ్‌ గాంధీ హత్య కేసుపై సిరీస్‌: స్ట్రీమింగ్‌ డేట్‌ ఫిక్స్‌,Telugu,General,https://www.eenadu.net/movies/new-updates,2025-06-23
ఉత్కంఠగా ట్రైలర్‌  భావోద్వేగ ప్రయాణం,Telugu,General,https://www.eenadu.net/movies/new-updates,2025-06-23
ఓటీటీలో ‘అనగనగా,Telugu,General,https://www.eenadu.net/movies/new-updates,2025-06-23
’ రికార్డు వ్యూస్‌,Telugu,General,https://www.eenadu.net/movies/new-updates,2025-06-23
డ్రగ్స్‌ కేసు,Telugu,General,https://www.eenadu.net/movies/new-updates,2025-06-23
నటుడు శ్రీరామ్‌ అరెస్టు ‘సర్దార్‌జీ 3’లో పాక్‌ నటి,Telugu,General,https://www.eenadu.net/movies/new-updates,2025-06-23
విమర్శలు వెల్లువెత్తడంతో నిర్మాతల కీలక నిర్ణయం క్షమాపణలు మాత్రమే చెప్పగలను: దర్శకుడు మణిరత్నం ‘జన నాయగన్‌’ మీ చివరి సినిమానా,Telugu,General,https://www.eenadu.net/movies/new-updates,2025-06-23
: నటి ప్రశ్నకు విజయ్‌ ఏం చెప్పారంటే,Telugu,General,https://www.eenadu.net/movies/new-updates,2025-06-23
నవ్విస్తూనే,Telugu,General,https://www.eenadu.net/movies/new-updates,2025-06-23
ఏడిపిస్తుంది,Telugu,General,https://www.eenadu.net/movies/new-updates,2025-06-23
ఆమిర్‌ సినిమాపై మహేశ్ ప్రశంసలు News Feature Pages Other Websites Follow Us For Editorial Feedback eMail: infonet@eenadu,Code-mixed,General,https://www.eenadu.net/movies/new-updates,2025-06-23
net For digital advertisementsContact : 040 - 23318181eMail:marketing@eenadu,Romanised,General,https://www.eenadu.net/movies/new-updates,2025-06-23
in GST AP - 37AAACU2690P1ZQ GST TG - 36AAACU2690P1ZS  © 1999 - 2025 Ushodaya Enterprises Pvt,Romanised,General,https://www.eenadu.net/movies/new-updates,2025-06-23
"Ltd,All rights reserved",Romanised,General,https://www.eenadu.net/movies/new-updates,2025-06-23
Powered By Margadarsi Computers App Contents of eenadu,Romanised,General,https://www.eenadu.net/movies/new-updates,2025-06-23
net are copyright protected,Romanised,General,https://www.eenadu.net/movies/new-updates,2025-06-23
"Copy and/or reproduction and/or re-use of contentsor any part thereof, without consent of UEPL is illegal",Romanised,General,https://www.eenadu.net/movies/new-updates,2025-06-23
Such persons will be prosecuted,Romanised,General,https://www.eenadu.net/movies/new-updates,2025-06-23
This website follows theDNPA Code of Ethics,Romanised,General,https://www.eenadu.net/movies/new-updates,2025-06-23
Privacy and cookie settings,Romanised,General,https://www.eenadu.net/movies/new-updates,2025-06-23
